Name;Width;Height;Average Red;Average Green;Average Blue;Average Hue;Average Saturation;Average Value;
image_1.jpg;480;480;0.7691916870913867;0.5810035062635802;0.5554144880173693;0.5229823775823194;0.32469976457760186;0.7700023488560843;
image_10.jpg;319;240;0.4308654496281698;0.38695238387944225;0.3746864179319252;0.2970002170586453;0.24470275472867145;0.4593111643821608;
image_100.jpg;380;253;0.4900231688266169;0.4678072010998183;0.45506189910966993;0.26401158333221714;0.13526511850286063;0.49437230019954864;
image_1000.jpg;800;600;0.5352874101306868;0.447228635620963;0.37898244281052984;0.18623118549338524;0.36182479396644174;0.542016748365973;
image_1001.jpg;450;300;0.38643511982571216;0.6034668119098867;0.712912795933161;0.4960849671865876;0.5474379243340335;0.7484136528685269;
image_1002.jpg;320;317;0.8190417981068935;0.696784499288534;0.5281680661223743;0.11227953571853137;0.35873914530569095;0.820923872703284;
image_1003.jpg;800;1100;0.5459287121215797;0.5032885249555243;0.4276248841356751;0.14485420160358087;0.3302002318148153;0.5762577852055226;
image_1004.jpg;450;300;0.873519506172898;0.8318302977487991;0.7775614524328361;0.08580242919515549;0.1326830834809561;0.8751231663036138;
image_1005.jpg;550;413;0.4613077132240332;0.4678239221729404;0.4674571091919517;0.4387079462482413;0.17359237154988993;0.5053110452193479;
image_1006.jpg;550;483;0.5580742462991028;0.4722594597784083;0.3002198971814978;0.18314816373935128;0.6128753950475744;0.5670944741530402;
image_1007.jpg;236;157;0.43203065961350795;0.4193972223457049;0.36318856593702564;0.18848706258449838;0.23604285573434633;0.44847061787036685;
image_1008.jpg;1000;1601;0.4061729997195806;0.29850550758617705;0.24043647230179077;0.17050923502707727;0.4598762017750475;0.40925383400213333;
image_1009.jpg;480;360;0.427853168119178;0.42020041303566535;0.415694943718315;0.3666992885036473;0.2581244717165498;0.46122117828617887;
image_101.jpg;1000;698;0.7738826900337988;0.7390267093607713;0.6996552053442268;0.44239663095723764;0.15687240645672368;0.7840535310929667;
image_1010.jpg;400;267;0.48038014981277244;0.501827898949826;0.36254288756709013;0.22115192004189632;0.4959698690901442;0.5868001395314195;
image_1011.jpg;360;360;0.6264220830306672;0.46719750060519816;0.41831324134596254;0.08466366845851674;0.433086503037097;0.6268952432824196;
image_1012.jpg;790;1080;0.7035231102275907;0.654485866356223;0.6291428669897364;0.16860461099178695;0.1828571279348164;0.7130656260603234;
image_1016.jpg;640;480;0.4788283164828586;0.3678506178514077;0.38742639399516154;0.5540513788096904;0.4586910575355683;0.5304838005514652;
image_1018.jpg;238;250;0.8398571758114838;0.845693194925023;0.8566075465480265;0.11828734876879837;0.16709471125002692;0.8766859779205599;
image_1019.jpg;250;250;0.6724688313725332;0.6509135058823642;0.6246722509804252;0.20580712300593726;0.12132860115224191;0.6781577411764615;
image_102.jpg;290;281;0.8317641765260466;0.831713550802681;0.8378979737680122;0.3076959452641643;0.04365468002662718;0.8382447503483207;
